problem_id,sample_count,matcher_version,freq_BFS,freq_DFS_RECURSIVE,freq_DFS_ITERATIVE,freq_BINARY_SEARCH,freq_DP,freq_GREEDY,freq_DSU,avg_loop_count,avg_max_loop_depth,avg_has_recursion,avg_function_count,avg_subscript_count
p03366,36,1,0.0278,0.3056,0.0278,0.0,0.75,0.0556,0.0,2.8333,1.1389,0.3889,3.4167,18.1111
p03373,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.3667,0.0333,1.6833,0.6
p03380,60,1,0.0167,0.0,0.0167,0.0167,0.0167,0.3833,0.0167,1.3667,0.7667,0.1167,1.5833,5.5167
p03407,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5167,0.1667
p03449,60,1,0.0,0.0167,0.0,0.0,0.2833,0.0,0.0,2.6333,1.25,0.0833,1.5,8.6333
p03478,60,1,0.0,0.0,0.0,0.0167,0.0333,0.0,0.0,1.9167,1.2833,0.05,2.3,0.9167
p03484,33,1,0.1212,0.5152,0.0606,0.6667,0.1515,0.0909,0.0,7.303,1.4242,0.8788,4.8788,20.2121
p03491,58,1,0.069,0.1724,0.0172,0.0,0.1897,0.1207,0.0172,4.3793,1.569,0.5172,5.0345,12.431
p03496,60,1,0.0167,0.0,0.0,0.0,0.2,0.0167,0.0167,4.9333,1.05,0.0667,3.4333,7.8833
p03527,32,1,0.0625,0.4062,0.0,0.0,0.4688,0.0938,0.125,7.0,1.4375,0.5938,12.0625,28.0312
p03532,30,1,0.1333,0.7333,0.0,0.0,0.9667,0.0667,0.3,9.0333,1.4667,0.8333,11.9,55.1333
p03534,60,1,0.0,0.0167,0.0,0.0,0.0667,0.0167,0.0167,1.2,0.5833,0.1,3.1,4.8833
p03540,12,1,0.0,0.25,0.0,0.0,0.9167,0.0,0.0,11.25,4.25,0.4167,4.75,60.5833
p03554,34,1,0.0,0.2059,0.0,0.0,0.9412,0.4118,0.0,6.7353,1.5,0.4118,9.5882,30.7941
p03557,60,1,0.0,0.0,0.0,0.05,0.2167,0.7833,0.0,2.35,1.0333,0.0667,1.55,4.7333
p03563,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333,0.05,0.0167,0.9,0.2333
p03564,60,1,0.0,0.0,0.0,0.0167,0.0,0.0,0.0,0.95,0.9,0.0667,0.9333,0.0667
p03570,59,1,0.0,0.1017,0.0,0.0,0.4746,0.0,0.0,2.1525,1.4915,0.1525,1.9322,10.5593
p03571,30,1,0.0333,0.0333,0.0,0.1,0.0667,0.4667,0.0,4.8333,1.4,0.1667,9.7,11.1333
p03624,60,1,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,1.35,0.9,0.0667,0.8833,1.8333
p03643,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.0333,0.05,0.7667,0.0
p03647,60,1,0.05,0.0333,0.0,0.0,0.0667,0.0,0.0,2.2667,1.2,0.0833,1.7333,5.5
p03671,60,1,0.0167,0.0167,0.0167,0.0,0.0333,0.0,0.0,0.2333,0.15,0.0333,0.9333,1.2833
p03710,51,1,0.0,0.0,0.0,0.0196,0.451,0.3922,0.0,5.902,2.3333,0.2549,3.3529,16.3922
p03712,60,1,0.0,0.0167,0.0,0.0,0.0167,0.0,0.0,2.4167,1.2167,0.0333,1.6667,2.35
p03720,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.1167,0.0167,0.8833,2.7167
p03740,60,1,0.0,0.0167,0.0,0.0,0.0167,0.0,0.0,0.5667,0.1167,0.1,4.8,0.65
p03742,60,1,0.0,0.0167,0.0,0.0,0.0,0.0,0.0,0.4667,0.2,0.1,1.35,0.5333
p03747,60,1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,3.15,0.8833,0.0167,1.75,11.9667
p03750,30,1,0.1,0.0,0.0,0.0333,0.7667,0.8667,0.0333,13.2,1.9667,0.1333,7.4333,44.6333
p03759,60,1,0.0,0.0,0.0,0.0,0.0167,0.0,0.0167,0.1333,0.0333,0.05,1.1333,0.8
p03764,60,1,0.0,0.0,0.0,0.0,0.0833,0.1667,0.0,2.5667,0.8333,0.05,3.1,5.7
p03792,60,1,0.0333,0.0,0.0,0.0,0.0333,0.0,0.0,3.4,1.15,0.1,1.9167,8.7167
p03794,31,1,0.1613,0.8065,0.0323,0.0,0.7419,0.0,0.0,13.0645,2.129,0.9355,11.7742,79.4516
p03809,59,1,0.1017,0.3898,0.0847,0.0169,0.1017,0.0,0.0,3.8305,1.1525,0.7966,3.5593,18.4915
p03866,60,1,0.2333,0.0,0.0333,0.0167,0.5667,0.0167,0.0167,5.1833,1.8667,0.0333,4.75,28.8833
p03914,36,1,0.0556,0.25,0.0,0.0278,0.25,0.0,0.0,5.0556,2.1667,0.3889,11.3889,31.7778
p03919,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.3333,0.0333,1.3,1.3833
p03929,60,1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,2.8333,1.7,0.0833,3.5167,3.2
p03949,60,1,0.2833,0.4833,0.1167,0.0,0.5667,0.0,0.0,6.1167,1.65,0.5667,4.5333,30.05
p03957,60,1,0.0,0.0,0.0,0.0,0.0167,0.0,0.0,1.0667,0.8333,0.0667,1.5833,1.7667
p03959,60,1,0.0,0.0,0.0,0.0,0.0667,0.0167,0.0,3.1667,0.9333,0.0333,1.8833,20.9833
p04003,60,1,0.7833,0.05,0.0333,0.0,0.3167,0.15,0.0,4.8833,2.1667,0.0667,3.1,23.5333
p04009,30,1,0.0,0.1,0.0,0.0,0.9,0.0,0.0,6.7333,3.3,0.2333,5.2333,66.5667
p04011,60,1,0.0,0.0,0.0,0.0,0.0167,0.0,0.0,0.45,0.2,0.0667,1.3,0.5333
